Format Version,1.21,Take Name,Take 2017-11-16 05.15.59 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-11-16 05.15.59 PM,Total Frames in Take,536,Total Exported Frames,536,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,wand,wand,wand,wand,wand,wand,wand,wand
,,"8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
55,0.458333,0.006535,-0.041992,0.056187,-0.997515,-0.766620,1.276130,-2.181597,0.001014
56,0.466667,0.005126,-0.040215,0.058468,-0.997466,-0.770165,1.275941,-2.181417,0.001121
57,0.475000,0.004860,-0.037936,0.059772,-0.997479,-0.773618,1.275580,-2.181143,0.001098
58,0.483333,0.004427,-0.035900,0.061850,-0.997430,-0.777480,1.275267,-2.180889,0.001200
59,0.491667,0.003160,-0.033354,0.063418,-0.997425,-0.781243,1.275296,-2.180630,0.001121
60,0.500000,0.002143,-0.031257,0.065422,-0.997366,-0.785365,1.275271,-2.180332,0.001133
61,0.508333,0.001076,-0.028677,0.066609,-0.997366,-0.789599,1.275278,-2.180202,0.001216
62,0.516667,-0.000181,-0.026137,0.068828,-0.997286,-0.793905,1.275451,-2.179809,0.001036
63,0.525000,-0.001295,-0.022761,0.069898,-0.997294,-0.798054,1.275671,-2.179721,0.001152
64,0.533333,-0.001543,-0.020139,0.071365,-0.997246,-0.802713,1.275679,-2.179651,0.001247
65,0.541667,-0.003107,-0.016385,0.072836,-0.997204,-0.807030,1.276214,-2.179337,0.001050
66,0.550000,-0.003349,-0.012957,0.073757,-0.997186,-0.811715,1.276349,-2.179253,0.001154
67,0.558333,-0.003886,-0.009719,0.074208,-0.997188,-0.816479,1.276769,-2.179221,0.001249
68,0.566667,-0.004383,-0.005978,0.075119,-0.997147,-0.821126,1.277172,-2.178926,0.001074
69,0.575000,-0.005070,-0.002461,0.076562,-0.997049,-0.826253,1.277815,-2.179046,0.001203
70,0.583333,-0.005069,0.001806,0.077738,-0.996959,-0.831182,1.278198,-2.178967,0.001108
71,0.591667,-0.004782,0.005425,0.078150,-0.996915,-0.836296,1.278623,-2.178963,0.001117
72,0.600000,-0.004877,0.008966,0.079124,-0.996813,-0.841440,1.279381,-2.178738,0.001006
73,0.608333,-0.004292,0.013625,0.079620,-0.996723,-0.846507,1.279801,-2.179008,0.001126
74,0.616667,-0.004766,0.017358,0.080503,-0.996592,-0.851945,1.280755,-2.179270,0.001163
75,0.625000,-0.004948,0.021640,0.081363,-0.996437,-0.857269,1.281577,-2.179387,0.001093
76,0.633333,-0.004698,0.025870,0.081355,-0.996338,-0.862659,1.282324,-2.179775,0.001148
77,0.641667,-0.004593,0.030836,0.081973,-0.996147,-0.868010,1.282923,-2.180091,0.001165
78,0.650000,-0.005397,0.034673,0.082807,-0.995948,-0.873664,1.283875,-2.180349,0.001049
79,0.658333,-0.005198,0.040142,0.083137,-0.995716,-0.879065,1.284467,-2.180829,0.001134
80,0.666667,-0.005608,0.044840,0.083848,-0.995453,-0.884728,1.285314,-2.181354,0.001090
81,0.675000,-0.006139,0.049577,0.083936,-0.995218,-0.890305,1.286207,-2.181841,0.001055
82,0.683333,-0.006360,0.054384,0.084617,-0.994908,-0.896019,1.287017,-2.182497,0.001091
83,0.691667,-0.006367,0.059438,0.084858,-0.994598,-0.901775,1.287806,-2.183242,0.001149
84,0.700000,-0.006667,0.065012,0.085279,-0.994211,-0.907329,1.288703,-2.183901,0.001132
85,0.708333,-0.007289,0.070116,0.085925,-0.993805,-0.913073,1.289752,-2.184746,0.001081
86,0.716667,-0.008345,0.074907,0.086377,-0.993408,-0.919035,1.290962,-2.185765,0.000990
87,0.725000,-0.008205,0.080008,0.086972,-0.992959,-0.924763,1.291884,-2.186594,0.001093
88,0.733333,-0.009143,0.085357,0.087620,-0.992448,-0.930591,1.293103,-2.187720,0.000998
89,0.741667,-0.008311,0.090635,0.087223,-0.992022,-0.936263,1.293846,-2.188489,0.001114
90,0.750000,-0.008718,0.095928,0.087756,-0.991474,-0.942031,1.295045,-2.189597,0.001111
91,0.758333,-0.009329,0.100777,0.088741,-0.990900,-0.947976,1.296372,-2.190866,0.001124
92,0.766667,-0.010093,0.106529,0.090067,-0.990171,-0.953755,1.297731,-2.192094,0.001138
93,0.775000,-0.010421,0.110647,0.090794,-0.989649,-0.959699,1.299165,-2.193273,0.001284
94,0.783333,-0.011329,0.116423,0.092265,-0.988840,-0.965411,1.300574,-2.194651,0.001100
95,0.791667,-0.012312,0.120612,0.094561,-0.988109,-0.971525,1.302383,-2.196179,0.001136
96,0.800000,-0.013164,0.125162,0.096357,-0.987358,-0.977456,1.304145,-2.197679,0.001055
97,0.808333,-0.013400,0.129626,0.098530,-0.986564,-0.983339,1.305930,-2.199208,0.001094
98,0.816667,-0.013896,0.132482,0.101222,-0.985906,-0.989704,1.307935,-2.200796,0.001099
99,0.825000,-0.015256,0.136304,0.104694,-0.985001,-0.995845,1.310265,-2.202489,0.001006
100,0.833333,-0.015907,0.139127,0.109373,-0.984087,-1.002411,1.312499,-2.204310,0.001057
101,0.841667,-0.016779,0.142472,0.114168,-0.983049,-1.008842,1.314923,-2.206076,0.001051
102,0.850000,-0.017047,0.144653,0.120385,-0.981984,-1.015764,1.317340,-2.208017,0.001130
103,0.858333,-0.018758,0.147273,0.126978,-0.980732,-1.022767,1.320323,-2.209998,0.001156
104,0.866667,-0.020175,0.150619,0.133957,-0.979266,-1.029718,1.323447,-2.211989,0.001133
105,0.875000,-0.021667,0.154619,0.140762,-0.977655,-1.036681,1.326869,-2.214015,0.001157
106,0.883333,-0.022454,0.158584,0.147399,-0.976023,-1.043866,1.330338,-2.216080,0.001138
107,0.891667,-0.023497,0.164141,0.153254,-0.974176,-1.050660,1.334299,-2.218050,0.001119
108,0.900000,-0.024875,0.169374,0.158805,-0.972355,-1.057825,1.338806,-2.220315,0.001109
109,0.908333,-0.025366,0.175112,0.163120,-0.970610,-1.064896,1.343561,-2.222541,0.001184
110,0.916667,-0.024902,0.182247,0.166269,-0.968773,-1.071574,1.348461,-2.224576,0.001179
111,0.925000,-0.024393,0.189676,0.168745,-0.966930,-1.078184,1.353781,-2.226639,0.001153
112,0.933333,-0.022734,0.197553,0.170241,-0.965129,-1.084658,1.359247,-2.228717,0.001172
113,0.941667,-0.020445,0.204323,0.171530,-0.963541,-1.091398,1.364983,-2.230877,0.001254
114,0.950000,-0.017812,0.212753,0.172292,-0.961631,-1.097522,1.371008,-2.232881,0.001253
115,0.958333,-0.014434,0.221387,0.172955,-0.959618,-1.103459,1.377116,-2.234863,0.001286
116,0.966667,-0.010643,0.229787,0.173541,-0.957585,-1.109410,1.383404,-2.236931,0.001312
117,0.975000,-0.006665,0.238188,0.173792,-0.955520,-1.115073,1.389931,-2.238904,0.001351
118,0.983333,-0.002765,0.246585,0.174219,-0.953329,-1.120569,1.396629,-2.240855,0.001298
119,0.991667,0.001126,0.254431,0.174014,-0.951306,-1.125952,1.403685,-2.242808,0.001209
120,1.000000,0.003670,0.264049,0.173352,-0.948796,-1.130483,1.411125,-2.244403,0.001081
121,1.008333,0.008451,0.272009,0.173533,-0.946481,-1.135340,1.418042,-2.246299,0.001122
